requirement_id,source_document,page_number,original_text,normalized_text,category,domain_relevance,minimum_value,maximum_value,unit,currency,percentage,count,length_km,diameter_inch,experience_years,time_period_years,date,project_type,sector,role,qualification,scope,entities,extraction_method,classification_confidence,review_status
REQ-PDF-0001,Tender_IOCL_2026_PL_VALVES_5810.pdf,1,1. SCOPE OF WORK Supply & Installation of API 6D Full-Bore Ball Valves and Gas Turbine Compressor Skids for Koyali-Ahmedabad Product Pipeline.,1. SCOPE OF WORK Supply & Installation of API 6D Full-Bore Ball Valves and Gas Turbine Compressor Skids for Koyali-Ahmedabad Product Pipeline.,INDUSTRY_STANDARD_COMPLIANCE,PETROLEUM_PIPELINE,,,,,,,,,,,,,Hydrocarbon Pipeline Infrastructure,,,,"[""Standard: API 6D""]",LLM_EXTRACTION,0.248,PENDING
REQ-PDF-0002,Tender_IOCL_2026_PL_VALVES_5810.pdf,1,"2. STATUTORY & FINANCIAL Active GSTIN, PAN, and minimum average annual turnover of INR 25.00 Crore.","2. STATUTORY & FINANCIAL Active GSTIN, PAN, and minimum average annual turnover of INR 25.00 Crore",FINANCIAL_ELIGIBILITY,GENERAL_GOVERNMENT_PROCUREMENT,25.0,,CRORE,INR,,,,,,,,,,,,Mandatory Active GSTIN Registration & Returns,"[""GST Registration Certificate"", ""Currency: 25.0 CRORE (INR 250,000,000)""]",LLM_WITH_REGEX_FALLBACK,0.744,PENDING
REQ-PDF-0003,Tender_IOCL_2026_PL_VALVES_5810.pdf,1,3. EXPERIENCE Prior execution in Petroleum pipeline valve stations.,3. EXPERIENCE Prior execution in Petroleum pipeline valve stations.,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Cross-Country Pipeline,Petroleum & Natural Gas,,,,[],LLM_EXTRACTION,0.326,PENDING
REQ-PDF-0004,Tender_IOCL_2026_PL_VALVES_5810.pdf,1,4. CHECK 7: OEM MANUFACTURER AUTHORIZATION Manufacturer Authorization Form (MAF) from certified API 6D valve manufacturer explicitly referencing Tender No: IOCL/2026/PL-VALVES/5810. Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,4. CHECK 7: OEM MANUFACTURER AUTHORIZATION Manufacturer Authorization Form (MAF) from certified API 6D valve manufacturer explicitly referencing Tender No: IOCL/2026/PL-VALVES/5810. Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,OEM_AUTHORIZATION,PETROLEUM_PIPELINE,,,,,,,,,,,2026-09,,,,,,"[""Financial Year: 2026-09"", ""Standard: API 6D""]",LLM_WITH_REGEX_FALLBACK,0.725,PENDING
REQ-PDF-0005,Tender_MOPNG_PIPE_2026_017.pdf,1,"1. SCOPE OF WORK Laying, Testing, and Commissioning of 150 km, 24-inch Outer Diameter API 5L Grade X70 Cross-Country Natural Gas Transmission Pipeline including Sectionalizing Valve Stations and Intermediate Pigging Stations.","1. SCOPE OF WORK Laying, Testing, and Commissioning of 150 KM, 24-inch Outer Diameter API 5L Grade X70 Cross-Country Natural Gas Transmission Pipeline including Sectionalizing Valve Stations and Intermediate Pigging Stations.",EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,150.0,,KM,INR,,,150.0,24.0,,,,Natural Gas Pipeline,Petroleum & Natural Gas,,,,"[""Length: 150.0 KM"", ""Diameter: 24.0 Inch"", ""Currency: 150.0 THOUSAND (INR 150,000)"", ""Standard: API 5L""]",LLM_WITH_REGEX_FALLBACK,0.448,PENDING
REQ-PDF-0006,Tender_MOPNG_PIPE_2026_017.pdf,1,2. CHECK 1 (R01): GST STATUTORY REGISTRATION Bidder must possess valid and active GSTIN registration in the relevant State/UT and submit latest GSTR-3B filings.,2. CHECK 1 (R01): GST STATUTORY REGISTRATION Bidder must possess valid and active GSTIN registration in the relevant State/UT and submit latest GSTR-3B filings.,GST_TAX_COMPLIANCE,GENERAL_GOVERNMENT_PROCUREMENT,,,,,,,,,,,,,,,,Mandatory Active GSTIN Registration & Returns,"[""GST Registration Certificate""]",LLM_EXTRACTION,0.813,PENDING
REQ-PDF-0007,Tender_MOPNG_PIPE_2026_017.pdf,1,3. CHECK 2 (R02): PAN & IDENTITY Bidder entity must hold a valid Permanent Account Number (PAN) issued by Income Tax Department matching corporate legal identity.,3. CHECK 2 (R02): PAN & IDENTITY Bidder entity must hold a valid Permanent Account Number (PAN) issued by Income Tax Department matching corporate legal identity.,GST_TAX_COMPLIANCE,GENERAL_GOVERNMENT_PROCUREMENT,,,,,,,,,,,,,Hydrocarbon Pipeline Infrastructure,,,,[],LLM_EXTRACTION,0.256,PENDING
REQ-PDF-0008,Tender_MOPNG_PIPE_2026_017.pdf,1,"4. CHECK 3 (R03): FINANCIAL TURNOVER Average Annual Financial Turnover of the bidder during the last 3 preceding financial years (FY 2023-24, FY 2024-25, FY 2025-26) must be at least INR 25.00 Crore.","4. CHECK 3 (R03): FINANCIAL TURNOVER Average Annual Financial Turnover of the bidder during the last 3 preceding financial yeaINR (FY 2023-24, FY 2024-25, FY 2025-26) must be at least INR 25.00 Crore",FINANCIAL_ELIGIBILITY,GENERAL_GOVERNMENT_PROCUREMENT,25.0,,CRORE,INR,,,,,,,FY 2023-24,,Oil & Gas,,,,"[""Turnover: 25.0 CRORE"", ""Currency: 25.0 CRORE (INR 250,000,000)"", ""Financial Year: FY 2023-24"", ""Financial Year: FY 2024-25"", ""Financial Year: FY 2025-26""]",LLM_WITH_REGEX_FALLBACK,0.76,PENDING
REQ-PDF-0009,Tender_MOPNG_PIPE_2026_017.pdf,1,"5. CHECK 4 (R04): OIL & GAS EXPERIENCE Bidder must possess proven prior execution experience of minimum 7 years in EPC / construction projects in Petroleum, Natural Gas, Refinery, or Hydrocarbon pipeline sectors.","5. CHECK 4 (R04): OIL & GAS EXPERIENCE Bidder must possess proven prior execution experience of minimum 7 yeaINR in EPC / construction projects in Petroleum, Natural Gas, Refinery, or Hydrocarbon pipeline sectoINR",EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,7,,YEARS,,,,,,7,,,Natural Gas Pipeline,Petroleum & Natural Gas,,,,"[""Experience: 7 Years""]",LLM_WITH_REGEX_FALLBACK,0.789,PENDING
REQ-PDF-0010,Tender_MOPNG_PIPE_2026_017.pdf,1,6. CHECK 5 (R05): SIMILAR PIPELINE EXPERIENCE Bidder must have successfully constructed and commissioned at least one cross-country high-pressure natural gas transmission pipeline of minimum 100 km length (24-inch or higher) in the last 7 years.,6. CHECK 5 (R05): SIMILAR PIPELINE EXPERIENCE Bidder must have successfully constructed and commissioned at least one cross-country high-pressure natural gas transmission pipeline of minimum 100 KM length (24-inch or higher) in the last 7 yeaINR,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,100.0,,KM,INR,,,100.0,24.0,,7,,Natural Gas Pipeline,Petroleum & Natural Gas,,,,"[""Length: 100.0 KM"", ""Diameter: 24.0 Inch"", ""Currency: 100.0 THOUSAND (INR 100,000)"", ""Period: 7 Years""]",LLM_WITH_REGEX_FALLBACK,0.746,PENDING
